model_key,method,preference_id,p_a_when_first,p_a_when_second,position_effect,content_effect,n
gemini-31-flash-lite,pairwise,p01,0.75,0.5,0.25,0.125,10
gemini-31-flash-lite,pairwise,p02,0.0,0.0,0.0,-0.5,10
gemini-31-flash-lite,pairwise,p03,1.0,0.6,0.4,0.30000000000000004,10
gemini-31-flash-lite,pairwise,p04,1.0,0.3333333333333333,0.6666666666666667,0.16666666666666663,10
gemini-31-flash-lite,pairwise,p05,1.0,0.8,0.19999999999999996,0.4,10
gemini-31-flash-lite,pairwise,p06,1.0,1.0,0.0,0.5,10
gemini-31-flash-lite,pairwise,p07,0.0,0.0,0.0,-0.5,10
gemini-31-flash-lite,pairwise,p08,1.0,0.16666666666666666,0.8333333333333334,0.08333333333333337,10
gemini-31-flash-lite,pairwise,p09,1.0,1.0,0.0,0.5,10
gemini-31-flash-lite,pairwise,p10,1.0,0.0,1.0,0.0,10
gemini-31-flash-lite,pairwise,p11,1.0,1.0,0.0,0.5,10
gemini-31-flash-lite,self_report,p01,0.8,0.2,0.6000000000000001,0.0,10
gemini-31-flash-lite,self_report,p02,0.0,0.25,-0.25,-0.375,10
gemini-31-flash-lite,self_report,p03,0.6666666666666666,0.2857142857142857,0.38095238095238093,-0.023809523809523836,10
gemini-31-flash-lite,self_report,p04,1.0,1.0,0.0,0.5,10
gemini-31-flash-lite,self_report,p05,1.0,0.25,0.75,0.125,10
gemini-31-flash-lite,self_report,p06,1.0,1.0,0.0,0.5,10
gemini-31-flash-lite,self_report,p07,0.0,0.0,0.0,-0.5,10
gemini-31-flash-lite,self_report,p08,1.0,0.2,0.8,0.09999999999999998,10
gemini-31-flash-lite,self_report,p09,1.0,1.0,0.0,0.5,10
gemini-31-flash-lite,self_report,p10,0.8,0.0,0.8,-0.09999999999999998,10
gemini-31-flash-lite,self_report,p11,1.0,1.0,0.0,0.5,10
llama31-8b,pairwise,p01,0.8,0.2,0.6000000000000001,0.0,10
llama31-8b,pairwise,p02,0.0,0.0,0.0,-0.5,10
llama31-8b,pairwise,p03,0.5714285714285714,0.0,0.5714285714285714,-0.2142857142857143,10
llama31-8b,pairwise,p04,0.75,0.3333333333333333,0.4166666666666667,0.04166666666666663,10
llama31-8b,pairwise,p05,0.2,0.0,0.2,-0.4,10
llama31-8b,pairwise,p06,0.8333333333333334,0.0,0.8333333333333334,-0.08333333333333331,10
llama31-8b,pairwise,p07,0.4,0.0,0.4,-0.3,10
llama31-8b,pairwise,p08,1.0,0.14285714285714285,0.8571428571428572,0.0714285714285714,10
llama31-8b,pairwise,p09,0.3333333333333333,0.8571428571428571,-0.5238095238095237,0.09523809523809523,10
llama31-8b,pairwise,p10,0.75,0.8333333333333334,-0.08333333333333337,0.29166666666666674,10
llama31-8b,pairwise,p11,1.0,0.2857142857142857,0.7142857142857143,0.1428571428571428,10
llama31-8b,pairwise,p12,0.3333333333333333,0.5,-0.16666666666666669,-0.08333333333333337,10
llama31-8b,self_report,p01,1.0,0.16666666666666666,0.8333333333333334,0.08333333333333337,10
llama31-8b,self_report,p02,0.16666666666666666,0.0,0.16666666666666666,-0.4166666666666667,10
llama31-8b,self_report,p03,0.5714285714285714,0.0,0.5714285714285714,-0.2142857142857143,10
llama31-8b,self_report,p04,1.0,0.14285714285714285,0.8571428571428572,0.0714285714285714,10
llama31-8b,self_report,p05,1.0,0.0,1.0,0.0,10
llama31-8b,self_report,p06,0.8333333333333334,0.0,0.8333333333333334,-0.08333333333333331,10
llama31-8b,self_report,p07,1.0,0.0,1.0,0.0,10
llama31-8b,self_report,p08,1.0,0.16666666666666666,0.8333333333333334,0.08333333333333337,10
llama31-8b,self_report,p09,1.0,0.0,1.0,0.0,10
llama31-8b,self_report,p10,1.0,0.0,1.0,0.0,10
llama31-8b,self_report,p11,1.0,0.0,1.0,0.0,10
llama31-8b,self_report,p12,1.0,0.0,1.0,0.0,10
llama31-8b,sequential,p01,1.0,0.0,1.0,0.0,5
llama31-8b,sequential,p02,0.0,0.0,0.0,-0.5,5
llama31-8b,sequential,p03,1.0,0.3333333333333333,0.6666666666666667,0.16666666666666663,5
llama31-8b,sequential,p04,1.0,0.25,0.75,0.125,5
llama31-8b,sequential,p05,0.0,0.3333333333333333,-0.3333333333333333,-0.33333333333333337,5
llama31-8b,sequential,p06,1.0,0.0,1.0,0.0,5
llama31-8b,sequential,p08,1.0,0.0,1.0,0.0,5
llama31-8b,sequential,p09,0.6666666666666666,1.0,-0.33333333333333337,0.33333333333333326,5
llama31-8b,sequential,p10,1.0,1.0,0.0,0.5,5
llama31-8b,sequential,p11,0.75,0.0,0.75,-0.125,5
llama31-8b,sequential,p12,0.5,0.3333333333333333,0.16666666666666669,-0.08333333333333337,5
qwen25-7b,pairwise,p01,1.0,0.0,1.0,0.0,10
